"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"23.04.2021","134.32","132.16","135.12","132.16","78.76M","1.80%"
"22.04.2021","131.94","132.96","134.15","131.42","84.57M","-1.17%"
"21.04.2021","133.50","132.39","133.73","131.36","68.85M","0.29%"
"20.04.2021","133.11","135.26","135.52","131.86","94.81M","-1.28%"
"19.04.2021","134.84","133.51","135.46","133.37","94.26M","0.51%"
"16.04.2021","134.16","134.30","134.67","133.28","84.92M","-0.25%"
"15.04.2021","134.50","133.82","135.00","133.64","89.35M","1.87%"
"14.04.2021","132.03","134.94","135.00","131.65","87.22M","-1.79%"
"13.04.2021","134.43","132.44","134.66","131.93","91.27M","2.43%"
"12.04.2021","131.24","132.52","132.85","130.63","91.42M","-1.32%"
"09.04.2021","132.99","129.80","133.04","129.47","106.69M","2.02%"
"08.04.2021","130.36","128.95","130.39","128.52","88.85M","1.92%"
"07.04.2021","127.90","125.83","127.92","125.14","83.47M","1.34%"
"06.04.2021","126.21","126.50","127.13","125.65","80.17M","0.25%"
"05.04.2021","125.90","123.87","126.16","123.07","88.65M","2.36%"
"01.04.2021","123.00","123.66","124.18","122.49","75.09M","0.70%"
"31.03.2021","122.15","121.65","123.52","121.15","118.32M","1.88%"
"30.03.2021","119.90","120.11","120.40","118.86","85.67M","-1.23%"
"29.03.2021","121.39","121.65","122.58","120.73","80.82M","0.15%"
"26.03.2021","121.21","120.35","121.48","118.92","94.07M","0.51%"
